ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
44.03,36.76,-5.09,31.61,18.43,-16.73,Set needle
41.68,35.47,-8.46,32.66,19.61,-17.41,Set needle
44.51,37.33,-3.58,33.51,19.38,-19.43,Set needle
45.07,38.29,-1.16,33.69,19.08,-20.14,Set needle
45.2,39.32,0.38,33.51,19.16,-19.63,Set needle
45.52,38.62,1.13,32.89,19.53,-18.32,Set needle
46.52,38.07,2.78,33.49,20.94,-17.04,Set needle
47.31,40.35,5.83,33.28,19.9,-17.29,Set needle
46.17,38.83,3.5,32.33,20.36,-14.56,Set needle
46.24,40.7,5.83,32.37,19.25,-15.9,Set needle
47.44,42.82,9.31,33.01,20.18,-15.99,Set needle
47.55,42.71,9.58,31.43,20.45,-12.05,Set needle
48.0,45.58,12.5,32.34,19.27,-15.41,Set needle
47.64,46.1,12.73,33.4,19.72,-17.02,Set needle
45.57,42.82,7.88,33.02,19.36,-16.3,Set needle
47.82,46.84,13.84,33.96,18.62,-19.43,Set needle
46.08,44.55,10.41,34.07,18.81,-19.32,Set needle
46.19,44.82,10.68,34.28,18.86,-17.58,Set needle
43.22,42.21,5.52,33.19,20.1,-14.74,Set needle
43.22,41.96,5.28,34.38,18.83,-19.11,Set needle
43.59,42.11,5.82,33.41,20.33,-14.65,Set needle
43.5,42.78,6.25,33.13,19.33,-15.51,Set needle
43.0,42.89,5.73,35.81,17.92,-21.56,Set needle
42.67,42.59,4.74,33.98,21.48,-11.99,Set needle
44.29,44.06,7.6,34.49,20.32,-15.18,Set needle
43.97,43.76,6.75,35.39,19.2,-17.57,Set needle
43.32,43.59,5.76,33.11,19.56,-12.1,Set needle
44.56,43.68,6.68,32.74,18.36,-12.74,Set needle
43.99,43.11,5.49,34.95,19.52,-15.69,Set needle
46.34,45.9,10.84,33.66,20.33,-11.56,Set needle
45.19,44.86,8.77,34.61,16.77,-19.62,Set needle
45.57,45.74,10.47,34.07,16.94,-18.47,Set needle
43.58,41.9,5.15,32.96,18.38,-13.32,Set needle
43.42,44.32,7.19,34.3,14.99,-20.66,Set needle
42.75,44.15,6.65,31.52,15.94,-15.56,Set needle
43.16,43.17,5.91,33.76,16.47,-21.08,Set needle
45.16,45.51,10.46,31.58,16.85,-17.46,Set needle
43.26,44.37,7.01,32.81,16.92,-22.03,Set needle
43.4,44.55,7.46,35.3,15.73,-28.74,Set needle
45.05,46.17,10.95,33.08,16.44,-23.43,Set needle
43.39,45.42,9.01,34.09,17.01,-24.83,Set needle
45.62,45.48,11.17,35.19,17.12,-27.7,Set needle
45.44,47.14,12.12,32.61,19.07,-19.53,Set needle
45.33,47.14,12.57,34.22,17.46,-25.4,Set needle
44.67,46.3,11.34,34.22,17.46,-25.4,Set needle
44.12,46.68,10.81,33.62,17.74,-24.03,Set needle
42.29,45.68,8.15,33.19,18.21,-22.73,Set needle
44.65,45.52,10.61,31.2,18.57,-18.06,Set needle
46.35,48.74,15.7,32.89,18.86,-21.05,Set needle
